,background,justClass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,weapons,castingStat,processedRace,processedSpells,processedWeapons,levelGroup,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,castCha,castInt,castWis,castCon,castDex,castStr,simpleWeapon,martialWeapon,rangedWeapon,num_feats,num_spells,multiClass
1963,Barbarian Tribe Member,Rogue|Fighter,8,Crossbow Expert|Sharpshooter,74,14,15,17,14,10,10,10,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Survival,Rapier|Shortbow|Dagger,Int,Human,,Rapier|Shortbow|Dagger,8-11,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,1
1964,Mercenary Veteran,Barbarian|Monk,11,Mobile|Athlete,161,19,19,18,20,8,14,7,Athletics|Perception|Intimidation|Persuasion,Maul|Mace|Javelin,Int,Human,,Maul|Mace|Javelin,8-11,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1
1965,Haunted One,Warlock,9,,69,16,10,14,14,15,12,15,Arcana|History|Investigation|Religion|Deception|Persuasion,"Crossbow, light|Dagger",Cha,Tiefling,Spare the Dying*0|Mage Hand*0|Eldritch Blast*0|Fire Bolt*0|Ray of Frost*0|Sacred Flame*0|Chill Touch*0|False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Silence*2|Misty Step*2|Remove Curse*3|Speak with Dead*3|Counterspell*3|Dispel Magic*3|Polymorph*4|Dimension Door*4|Sickening Radiance*4|Wall of Light*5,"Crossbow, Light|Dagger",8-11,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0
1966,Outlander,Barbarian,5,,72,15,17,13,18,7,13,10,Athletics|Nature|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,Int,Half-Orc,,Greataxe|Handaxe|Javelin,4-7,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1967,Sailor,Bard,2,,15,13,13,15,13,13,13,13,Athletics|Nature|Animal Handling|Perception|Survival,Rapier|Dagger,Cha,Human,,Rapier|Dagger,1-3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1968,Sailor,Bard,2,,15,12,13,13,12,13,12,15,Athletics|Investigation|Nature|Perception|Survival,Rapier|Dagger,Cha,Yaun-Ti,,Rapier|Dagger,1-3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1969,City Watch,Wizard,2,Tavern Brawler,16,11,16,13,15,13,10,8,Athletics|Investigation|Insight,Dagger,Int,Human,,Dagger,1-3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1970,Sage,Bard|Rogue|Warlock,10,Linguist|Lucky,63,18,11,20,12,16,15,19,Acrobatics|Sleight of Hand|Stealth|Arcana|History|Investigation|Nature|Religion|Insight|Perception|Performance,Dagger|Scimitar|Composite Shortbow,Cha,Tabaxi,Blade Ward*0|Friends*0|Mage Hand*0|Eldritch Blast*0|True Strike*0|Prestidigitation*0|Identify*1|Dissonant Whispers*1|Charm Person*1|*|Unseen Servant*1|Hold Person*2|Phantasmal Force*2|Knock*2|Invisibility*2|Mind Spike*2|Dispel Magic*3|Hypnotic Pattern*3,Dagger|Scimitar|Shortbow,8-11,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,2,18,1
1971,Soldier,Rogue,5,,36,17,18,18,16,9,8,10,Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Intimidation,Great Axe|Longbow|Dagger,Int,Dwarf,Mage Hand*0|Vicious Mockery*0|Acid Splash*0|Shield*1|Identify*1|Disguise Self*1|Silent Image*1,Greataxe|Longbow|Dagger,4-7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,7,0
1972,Soldier,Rogue,4,,24,17,18,18,16,9,8,10,Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Intimidation,Great Axe|Shortbow|Dagger,Int,Dwarf,Mage Hand*0|Vicious Mockery*0|Acid Splash*0|Shield*1|Identify*1|Disguise Self*1|Silent Image*1,Greataxe|Shortbow|Dagger,4-7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,7,0
1973,Criminal,Rogue,10,Elven Accuracy|Keen Mind,98,18,16,23,16,14,19,19,Acrobatics|Stealth|Insight|Perception|Deception|Intimidation,"Shortsword (silver+1)|Dagger (silver+1)|HandCross (slvr+1,grav)|Sword Of Wounding +2",Wis,Elf,,Shortsword|Dagger||,8-11,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0
1974,Guild Artisan,Bard,5,,45,13,10,14,12,14,12,18,Arcana|History|Investigation|Nature|Insight|Perception|Intimidation|Performance|Persuasion,Dagger,Cha,Half-Elf,Mage Hand*0|Vicious Mockery*0|Thunderclap*0|Cure Wounds*1|Dissonant Whispers*1|Sleep*1|Earth Tremor*1|Crown of Madness*2|Shatter*2|Leomund's Tiny Hut*3|Fear*3,Dagger,4-7,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0
1975,Faction Agent,Rogue,1,,10,14,8,17,14,10,12,14,Acrobatics|Stealth|Insight|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,Int,Halfling,,Rapier|Shortbow|Dagger,1-3,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
1976,Soldier,Fighter,1,Tough,14,18,16,14,14,10,12,8,Athletics|Acrobatics|Perception|Survival|Intimidation,"Longsword|Crossbow, light",Int,Human,,"Longsword|Crossbow, Light",1-3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1977,Urban Bounty Hunter,Fighter,5,Crossbow Expert,60,16,13,18,14,10,12,10,Athletics|Acrobatics|Stealth|Arcana|Insight|Deception,"Longbow|Crossbow, hand|Crossbow, light",Int,Human,Prestidigitation*0,"Longbow|Crossbow, hand|Crossbow, Light",4-7,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
1978,Smuggler,Rogue,5,Dual Wielder,45,15,10,16,12,14,12,13,Athletics|Stealth|Investigation|Insight|Perception|Deception|Performance,Sneak Attack|Fire Bolt (1 Free Hand) |Rapier|Two Weapon Fighting|Shortsword,Int,Elf,Fire Bolt*0,||Rapier||Shortsword,4-7,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
1979,Courtier,Rogue|Fighter,10,,62,18,8,20,10,14,14,14,Athletics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Persuasion,Rapier|Dagger|Longbow,Int,Half-Elf,,Rapier|Dagger|Longbow,8-11,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
1980,Custom,Ranger|Monk,10,,77,19,8,20,10,8,18,8,Athletics|Acrobatics|Stealth|Perception|Survival,"Longsword|Crossbow, Light|Shortsword",Wis,Aarakocra,,"Longsword|Crossbow, Light|Shortsword",8-11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
1981,Sage,Bard,4,Magic Initiate|Ritual Caster,35,14,10,16,16,17,14,20,Acrobatics|Stealth|Arcana|History|Investigation|Insight|Perception|Persuasion,Rapier|Dagger,Cha,Human,,Rapier|Dagger,4-7,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0
1982,Charlatan,Bard,1,,10,14,8,16,14,10,12,16,Sleight of Hand|Perception|Deception|Intimidation|Performance|Persuasion,"Crossbow, Light|Dagger",Cha,Half-Elf,Vicious Mockery*0|Friends*0|Charm Person*1|Dissonant Whispers*1|Faerie Fire*1|Sleep*1,"Crossbow, Light|Dagger",1-3,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6,0
1983,Outlander,Barbarian,1,,15,14,17,13,16,8,12,10,Athletics|Perception|Survival|Intimidation,Maul|Handaxe|Javelin,Int,Dwarf,,Maul|Handaxe|Javelin,1-3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1984,Soldier,Paladin,6,,46,13,18,12,12,10,12,14,Athletics|Stealth|Insight|Intimidation|Persuasion,Morningstar,Cha,Bugbear,Armor of Agathys*1|Command*1|Hold Person*2|Spiritual Weapon*2,Morningstar,4-7,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0
1985,Criminal,Rogue|Wizard,4,,35,15,12,20,16,14,15,13,Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Intimidation,Shortsword|Shortsword|Dagger,Int,Tabaxi,,Shortsword|Shortsword|Dagger,4-7,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
1986,Soldier,Fighter,7,Sentinel,84,19,20,10,14,10,10,14,Athletics|Acrobatics|Perception|Intimidation|Persuasion,"Longsword|Crossbow, light",Int,Human,,"Longsword|Crossbow, Light",4-7,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1987,Haunted One,Warlock,7,,70,13,8,14,14,16,12,13,Arcana|Religion|Deception|Intimidation,Mace|Shortbow|Dagger,Cha,,Eldritch Blast*0|True Strike*0|Chill Touch*0|Hellish Rebuke*1|Protection from Evil and Good*1|Burning Hands*1|Command*1|Darkness*2|Ray of Enfeeblement*2|Suggestion*2|Blindness/Deafness*2|Scorching Ray*2|Fly*3|Fireball*3|Stinking Cloud*3|Wall of Fire*4|Dimension Door*4,Mace|Shortbow|Dagger,4-7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,17,0
1988,Acolyte,Monk,10,Sentinel,89,16,12,18,16,10,14,8,Acrobatics|Stealth|Religion|Insight|Perception|Deception,Spear|Dart|Unarmed Strike,Int,Human,,Spear|Dart|Unarmed Strike,8-11,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
1989,Sailor,Sorcerer,8,Dragon Hide,58,17,13,17,13,12,8,19,Athletics|Arcana|Religion|Perception,"Crossbow, light|Dagger",Cha,Dragonborn,Fire Bolt*0|Gust*0|Mold Earth*0|Frostbite*0|*|Chaos Bolt*1|Shield*1|Find Familiar*1|Comprehend Languages*1|Darkness*2|Misty Step*2|Dragon's Breath*2|Counterspell*3|*|Blight*4|Polymorph*4|Storm Sphere*4,"Crossbow, Light|Dagger",8-11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,17,0
1990,Sailor,Sorcerer,7,,51,14,13,17,13,12,8,18,Athletics|Arcana|Religion|Perception,"Crossbow, light|Dagger",Cha,Dragonborn,Fire Bolt*0|Gust*0|Ray of Frost*0|Mold Earth*0|Frostbite*0|Chaos Bolt*1|Shield*1|Find Familiar*1|Comprehend Languages*1|Darkness*2|Misty Step*2|Dragon's Breath*2|Fireball*3|Counterspell*3|*|Blight*4,"Crossbow, Light|Dagger",4-7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,16,0
1991,Outlander,Druid,3,Alert,24,13,15,15,15,11,18,17,Athletics|Nature|Animal Handling|Medicine|Survival,Quarterstaff|Scimitar,Wis,Human,Shillelagh*0|Produce Flame*0|Speak with Animals*1|Detect Poison and Disease*1|Entangle*1|Purify Food and Drink*1|Ice Knife*1|Blur*2|Silence*2|Spike Growth*2|Locate Animals or Plants*2,Quarterstaff|Scimitar,1-3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,11,0
1992,Outlander,Sorcerer,3,,26,14,14,12,16,11,9,16,Athletics|Insight|Survival|Intimidation,"Crossbow, light|Dagger",Cha,Dragonborn,Minor Illusion*0|Poison Spray*0|Prestidigitation*0|Fire Bolt*0|Charm Person*1|Witch Bolt*1|Disguise Self*1|Invisibility*2,"Crossbow, Light|Dagger",1-3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8,0
1993,Far Traveler,Bard,4,,38,15,12,18,15,12,13,18,Stealth|Arcana|Investigation|Insight|Perception|Deception|Performance|Persuasion,Longsword|Dagger,Cha,Triton,,Longsword|Dagger,4-7,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1994,Criminal,Ranger,1,,13,15,10,16,16,10,16,6,Stealth|Animal Handling|Perception|Survival|Deception,Shortsword|Longbow,Wis,Goblin,,Shortsword|Longbow,1-3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
1995,Folk Hero,Barbarian,3,,35,15,17,15,16,8,8,8,Athletics|Animal Handling|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,Int,Goliath,,Greataxe|Handaxe|Javelin,1-3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1996,Urchin,Bard,1,Lucky,8,14,13,16,10,13,14,17,Sleight of Hand|Stealth|Perception|Deception|Performance|Persuasion,"Crossbow, light|Dagger|Rapier",Cha,Human,Vicious Mockery*0|Mage Hand*0|Healing Word*1|Tasha's Hideous Laughter*1|Feather Fall*1|Dissonant Whispers*1,"Crossbow, Light|Dagger|Rapier",1-3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,6,0
1997,Custom,Druid,8,War Caster,67,16,14,16,17,12,20,11,Acrobatics|Stealth|Arcana|Nature|Perception,Scimitar,Wis,Human,,Scimitar,8-11,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1998,Sailor,Wizard,5,,37,12,11,15,16,19,11,14,Athletics|Arcana|Insight|Perception,Quarterstaff,Int,Goliath,,Quarterstaff,4-7,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1999,Urchin,Wizard,12,Alert|Prodigy,74,12,8,14,14,20,10,12,Sleight of Hand|Stealth|Arcana|Investigation|Deception,Dagger,Int,Human,Toll the Dead*0|*|Fire Bolt*0|Light*0|Mage Hand*0|Find Familiar*1|Charm Person*1|Mage Armor*1|*|Web*2|Darkvision*2|*|Lightning Bolt*3|Counterspell*3|Fly*3|Vitriolic Sphere*4|Grasping Vine*4|Polymorph*4|Wall of Force*5|Cone of Cold*5|*,Dagger,12-15,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,21,0
2000,Soldier,Fighter,2,,22,16,17,13,16,9,9,12,Athletics|Animal Handling|Survival|Intimidation,Battleaxe|Flail|Handaxe|Longbow,Int,Dwarf,,Battleaxe|Flail|Handaxe|Longbow,1-3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
2001,Soldier,Fighter,2,,23,16,19,13,18,9,9,12,Athletics|Animal Handling|Survival|Intimidation,Battleaxe|Flail|Handaxe|Longbow,Int,Dwarf,,Battleaxe|Flail|Handaxe|Longbow,1-3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
2002,Acolyte,Cleric,1,,12,16,15,11,18,13,18,13,Religion|Insight|Medicine|Persuasion,Mace|Handaxe,Wis,Loxodon,Light*0|Sacred Flame*0|Spare the Dying*0|Bless*1|Cure Wounds*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1,Mace|Handaxe,1-3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0
2003,Sailor,Paladin,5,,49,16,20,16,18,15,13,17,Athletics|Insight|Perception|Persuasion,Javelin,Cha,Gnome,Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2,Javelin,4-7,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0
2004,Sailor,Barbarian,5,,50,14,20,14,14,12,12,11,Athletics|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,Int,Tiefling,,Greataxe|Handaxe|Javelin,4-7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2005,Cloistered Scholar,Bard,3,,21,15,11,18,13,14,12,16,Acrobatics|Stealth|Arcana|History|Investigation|Insight|Medicine|Perception|Persuasion,Rapier|Dagger|Claws,Cha,Tabaxi,Vicious Mockery*0|Minor Illusion*0|Faerie Fire*1|Heroism*1|Healing Word*1|Sleep*1|Invisibility*2|Silence*2,Rapier|Dagger|,1-3,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,8,0
2006,City Watch,Fighter,3,Polearm Master,33,16,18,13,16,14,10,10,Athletics|Insight|Perception|Survival|Intimidation,"Halberd|Battleaxe|Crossbow, light",Int,Human,,"Halberd|Battleaxe|Crossbow, Light",1-3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
2007,Soldier,Fighter|Paladin,9,Shield Master|Mobile,116,19,20,16,20,8,12,15,Athletics|Animal Handling|Survival|Intimidation,"Warhammer|Crossbow, light|Battleaxe|Javelin",Int,Dwarf,Bane*1|Hunter's Mark*1,"Warhammer|Crossbow, Light|Battleaxe|Javelin",8-11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,2,1
2008,Clan Crafter,Artificer,2,,21,15,12,12,16,18,12,9,Arcana|History|Nature|Insight,"Handaxe|Spear|Crossbow, light",Int,Tiefling,Poison Spray*0|Fire Bolt*0|Mage Hand*0|Catapult*1|Cure Wounds*1|False Life*1|Sanctuary*1|Disguise Self*1,"Handaxe|Spear|Crossbow, Light",1-3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0
2009,Clan Crafter,Artificer,1,,10,16,12,14,14,18,14,17,Arcana|History|Nature|Insight,"Handaxe|Spear|Crossbow, light",Int,Tiefling,,"Handaxe|Spear|Crossbow, Light",1-3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2010,Charlatan,Rogue|Bard,5,,28,15,10,16,10,12,12,16,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Survival|Deception|Performance|Persuasion,"Rapier|Crossbow, hand|Crossbow, light +1|Dagger",Cha,Half-Elf,Friends*0|Prestidigitation*0|Vicious Mockery*0|Faerie Fire*1|Disguise Self*1|Sleep*1|Healing Word*1|Animal Friendship*1|Enhance Ability*2|Invisibility*2,"Rapier|Crossbow, hand|Crossbow, Light|Dagger",4-7,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,10,1
2011,Noble,Wizard,1,,7,12,10,14,12,16,12,12,Arcana|History|Medicine|Perception|Persuasion,Quarterstaff,Int,Elf,,Quarterstaff,1-3,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2012,Outlander,Druid,1,,10,16,8,16,14,10,16,10,Athletics|Nature|Animal Handling|Perception|Survival,Scimitar,Wis,Elf,,Scimitar,1-3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2013,Hermit,Rogue,1,,11,14,16,16,16,9,9,9,Sleight of Hand|Stealth|Investigation|Religion|Medicine|Perception,Rapier|Shortbow|Dagger,Int,Human,,Rapier|Shortbow|Dagger,1-3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
2014,Violent Assassin,Fighter,1,Defensive Duelist,13,19,16,15,16,8,8,8,Stealth|Perception|Survival|Deception|Intimidation,"Rapier|Crossbow, light",Int,Human,,"Rapier|Crossbow, Light",1-3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
2015,Charlatan,Sorcerer,1,,7,11,10,13,12,12,12,17,Sleight of Hand|Insight|Deception|Persuasion,"Crossbow, light|Dagger",Cha,Tiefling,Bane*1,"Crossbow, Light|Dagger",1-3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2016,Entertainer,Bard|Barbarian,3,,26,14,14,14,14,12,11,18,Acrobatics|Sleight of Hand|Stealth|Intimidation|Performance,Longsword|Dagger,Cha,Half-Elf,,Longsword|Dagger,1-3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
2017,Hermit,Druid,9,Resilient|Savage Attacker|War Caster,68,13,8,14,14,12,16,12,Arcana|History|Nature|Animal Handling|Medicine,,Wis,Human,,,8-11,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
2018,Sailor,Sorcerer|Warlock,9,Spell Sniper|War Caster,78,14,10,14,14,10,10,18,Athletics|Acrobatics|Perception|Deception|Persuasion,Pact Spear|Eldritch Blast (x2)| Chill Touch*|Poison Spray (vs Con)|Sacred Flame (vs Dex)|Frostbite* (vs Con),Cha,Human,Mage Hand*0|Mending*0|Prestidigitation*0|Eldritch Blast*0|Sacred Flame*0|Chill Touch*0|Poison Spray*0|Frostbite*0|Cure Wounds*1|Shield*1|Hex*1|Armor of Agathys*1|Absorb Elements*1|Detect Magic*1|Darkness*2|Knock*2|See Invisibility*2|Prayer of Healing*2|Counterspell*3|Dispel Magic*3,Spear|||||,8-11,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,20,1
2019,Folk Hero,Barbarian,3,,30,15,17,15,16,8,8,8,Athletics|Animal Handling|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,Int,Goliath,,Greataxe|Handaxe|Javelin,1-3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2020,Folk Hero,Cleric,1,,11,18,16,12,16,9,18,6,Animal Handling|Insight|Medicine|Survival,"Warhammer|Crossbow, light",Wis,Human,Divine Favor*1|Shield of Faith*1,"Warhammer|Crossbow, Light",1-3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0
2021,Folk Hero,Cleric,1,,11,18,16,12,16,9,18,6,Animal Handling|Insight|Medicine|Survival,"Warhammer|Crossbow, light",Wis,Human,Divine Favor*1|Shield of Faith*1,"Warhammer|Crossbow, Light",1-3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0
2022,Folk Hero,Monk,2,,17,16,10,16,14,11,16,10,Acrobatics|Stealth|Animal Handling|Survival,Quarterstaff|Dart|Unarmed Strike,Int,Human,Thaumaturgy*0,Quarterstaff|Dart|Unarmed Strike,1-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0
2023,Criminal,Rogue,2,,17,14,10,16,14,14,11,14,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception,Rapier|Shortbow|Dagger,Int,Human,Dancing Lights*0|Minor Illusion*0,Rapier|Shortbow|Dagger,1-3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,2,0
2024,Cloistered Scholar,Wizard,2,,14,15,9,14,14,16,14,12,Arcana|History|Investigation|Medicine,Typhoon Spire|Firebolt|Shocking Grasp,Int,Human,Fire Bolt*0|Shocking Grasp*0|Prestidigitation*0|Shape Water*0|Dancing Lights*0|Find Familiar*1|Mage Armor*1|Detect Magic*1|Burning Hands*1|Catapult*1|Magic Missile*1|Thunderwave*1,||,1-3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0
2025,Hermit,Druid,2,,17,14,11,14,14,14,16,10,Nature|Religion|Animal Handling|Medicine,,Wis,Human,Produce Flame*0|Mold Earth*0|Cure Wounds*1|Speak with Animals*1|Create or Destroy Water*1|Absorb Elements*1|Ice Knife*1,,1-3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
2026,Soldier,Fighter,2,,20,16,16,14,14,10,14,11,Athletics|Intimidation,Greatsword|Trident|Handaxe,Int,Human,,Greatsword|Trident|Handaxe,1-3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2027,Acolyte,Cleric,6,,33,13,8,12,10,16,17,13,Religion|Insight|Perception,Mace,Wis,Elf,Spare the Dying*0|Mending*0|Sacred Flame*0|Toll the Dead*0|Bane*1|False Life*1|Detect Evil and Good*1|Guiding Bolt*1|Protection from Evil and Good*1|Healing Word*1|Gentle Repose*2|Ray of Enfeeblement*2|Aid*2|Lesser Restoration*2|Prayer of Healing*2|Revivify*3|Vampiric Touch*3|Mass Healing Word*3|Magic Circle*3|Bestow Curse*3,Mace,4-7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0
2028,Soldier,Cleric,1,,11,11,14,12,15,10,16,8,Athletics|Religion|Medicine|Intimidation,,Wis,Dwarf,Bless*1|Cure Wounds*1,,1-3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2029,Acolyte,Wizard,1,,8,10,8,10,14,16,12,15,Arcana|History|Religion|Insight,,Int,Tiefling,,,1-3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2030,Hermit,Ranger,1,,12,16,15,16,14,11,13,9,Stealth|Religion|Animal Handling|Medicine|Survival,,Wis,Human,,,1-3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2031,Faction Agent,Druid,1,,9,16,11,16,12,13,15,14,Nature|Insight|Perception|Survival,,Wis,Elf,,,1-3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
